smiles,FishAT,DMAT,AlgAT,FishCT,DMCT,AlgCT,group
Clc1cc(Cl)c(-c2c(Cl)c(Cl)c(-c3c(Cl)cc(Cl)c(Cl)c3Cl)c(Cl)c2Cl)cc1Cl,1,,,,,,valid
Clc1cc(Cl)c(Cl)c(-c2cc(Cl)c(-c3cc(Cl)c(Cl)c(Cl)c3)c(Cl)c2Cl)c1,1,,,,,,train
Clc1cc(Cl)cc(-c2cc(Cl)cc(Cl)c2)c1,1,,,,,,train
Clc1cccc(-c2cc(Cl)cc(Cl)c2)c1,1,,,,,,train
O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,1,,,,,,train
Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,1,,,,,,test
CC(C)CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC(C)C,1,,,,,,train
O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0,,,,,,train
CC(C)(O)C(F)(F)C(F)F,0,,,,,,train
C=CCOC(Cn1ccnc1)c1ccc(Cl)cc1Cl,1,,,,,,train
CC(=O)c1ccc(C2C(=C(O)c3ccc(C(C)C)cc3)C(=O)C(=O)N2c2ccc(C)nn2)cc1.Cc1ccc(N2C(=O)C(=O)C(=C(O)c3ccc(C(C)(C)C)cc3)C2c2ccc(OC(F)(F)F)cc2)nn1.Cc1ccc(N2C(=O)C(=O)C(=C(O)c3ccc(C(C)C)cc3)C2c2ccncc2)nn1.Cc1ccc(N2C(=O)C(=O)C(=C(O)c3ccc(C(F)(F)F)nc3)C2c2ccc(OC(F)(F)F)cc2)nn1.Cc1ccc(N2C(=O)C(=O)C(=C(O)c3ccc(C4CCCCC4)cc3)C2c2ccc(OC(F)(F)F)cc2)nn1,1,,,,,,valid
Clc1ccc(Cl)c(-c2ccccc2Cl)c1,1,,,,,,train
COc1ccc(C2Sc3ccccc3N(CCN(C)C)C(=O)C2OC(C)=O)cc1,1,,,,,,train
CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1cncn1,1,,,,,,train
Clc1ccc(-c2cccc(Cl)c2Cl)c(Cl)c1,1,,,,,,train
COCCCCC(=NOCCN)c1ccc(C(F)(F)F)cc1,1,,,,,,test
CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,1,,,,,,train
CC(C)(C)C(O)C(Oc1ccc(Cl)cc1)n1cncn1,1,,,,,,train
Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2)cc1Cl,1,,,,,,train
O=[N+]([O-])C=C1NCCCS1,0,,,,,,train
CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,1,,,,,,valid
CCCOCC(=Nc1ccc(Cl)cc1C(F)(F)F)n1ccnc1,1,,,,,,train
