smiles,FishAT,group,valid_smiles,has_aniline_amino,has_aryl_chlorine,aniline_amino_match_count,aryl_chlorine_match_count,aniline_amino_match_atoms,aryl_chlorine_match_atoms
Nc1c([N+](=O)[O-])ccc(Oc2ccccc2)c1Cl,1,test,True,True,True,1,1,"(1, 0)","(16, 17)"
Nc1ccc(Cl)cc1C(F)(F)F,1,train,True,True,True,1,1,"(1, 0)","(4, 5)"
CC(C)(C)Nc1nc(N)nc(Cl)n1,1,train,True,True,True,1,1,"(7, 8)","(10, 11)"
Nc1cn[nH]c(=O)c1Cl,1,train,True,True,True,1,1,"(1, 0)","(7, 8)"
C=CCOC(=O)C(C)(C)OC(=O)c1cc(N)ccc1Cl,1,train,True,True,True,1,1,"(14, 15)","(18, 19)"
COc1cc(Cl)c(OC)cc1N,1,train,True,True,True,1,1,"(10, 11)","(4, 5)"
NC(=O)c1ccc(Cl)c(N)c1,1,train,True,True,True,1,1,"(8, 9)","(6, 7)"
Nc1c(Cl)cc(C(F)(F)F)cc1Cl,1,train,True,True,True,1,2,"(1, 0)","(2, 3); (11, 12)"
Nc1c(Cl)ccc(Cl)c1Cl,1,train,True,True,True,1,3,"(1, 0)","(2, 3); (6, 7); (8, 9)"
Nc1cc(Cl)c(Cl)c(Cl)c1Cl,1,train,True,True,True,1,4,"(1, 0)","(3, 4); (5, 6); (7, 8); (9, 10)"
Nc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,1,train,True,True,True,1,3,"(1, 0)","(3, 4); (12, 13); (15, 16)"
Nc1ccc(Cl)cc1O,1,train,True,True,True,1,1,"(1, 0)","(4, 5)"
CC1Cn2c(nnc2-c2cnccn2)C(=O)N1Cc1cc(N)ccc1Cl,1,train,True,True,True,1,1,"(20, 21)","(24, 25)"
COC(=O)COc1nc(F)c(Cl)c(N)c1Cl,1,train,True,True,True,1,2,"(12, 13)","(10, 11); (14, 15)"
Nc1cc(Cl)c(OC(F)(F)C(F)C(F)(F)F)cc1Cl,1,train,True,True,True,1,2,"(1, 0)","(3, 4); (17, 18)"
Cc1cc(N)c(S(=O)(=O)O)cc1Cl,0,valid,True,True,True,1,1,"(3, 4)","(11, 12)"
CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4cnc(OCC5(F)CCN(CC(F)F)CC5)c(Cl)c4)c(Oc4cnc(N)c(Cl)c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,0,train,True,True,True,1,3,"(46, 47)","(38, 39); (48, 49); (58, 59)"
Cc1ccc(Cl)cc1N,1,valid,True,True,True,1,1,"(7, 8)","(4, 5)"
